hash,hash_type,source,first_seen,last_seen,confidence,threat_type,vt_malicious,vt_suspicious,vt_undetected,vt_harmless,vt_reputation,vt_times_submitted,vt_first_submission,vt_last_analysis,vt_popular_threat_classification,vt_suggested_threat_label,vt_tags,vt_names,vt_sha256,vt_md5,vt_enrichment_status,vt_last_updated
bcfac996df6105f7d676f685e76d86c85f6274eb632602b427b9b8c12d505554,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-11,1,1760250328,1760250328,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}]}",trojan.,javascript,invoice-1637482117.pdf (186).js,bcfac996df6105f7d676f685e76d86c85f6274eb632602b427b9b8c12d505554,c29b6bca576b4e1ada8841346f17f481,success,2025-10-12T10:40:14.322425
8c401279748ab5f1903d12c3e794b967c603d77381502401132d9ab89b038d25,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-12,2,1760250252,1760250909,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""count"": 11, ""value"": ""trojan""}, {""count"": 2, ""value"": ""downloader""}]}",trojan.,javascript,_8c401279748ab5f1903d12c3e794b967c603d77381502401132d9ab89b038d25.txt;invoice-1637482117.pdf (185).js,8c401279748ab5f1903d12c3e794b967c603d77381502401132d9ab89b038d25,6a87c42f37526dbe1e64c5928600d23e,success,2025-10-12T10:40:23.172648
5c10b0b95dcf8900e5b916e1caa2689c7341a2fd1027496bbfbc335e36ffa795,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-11,1,1760250309,1760250309,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""count"": 11, ""value"": ""trojan""}, {""count"": 2, ""value"": ""downloader""}]}",trojan.,javascript,invoice-1637482117.pdf (184).js,5c10b0b95dcf8900e5b916e1caa2689c7341a2fd1027496bbfbc335e36ffa795,d73a28ad0bb82abb6c449e08e8c0c5e8,success,2025-10-12T10:40:31.864328
3025669ca05c98cb958e1bbb452777ddf63b46e982dbe363afe6c19057413960,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,16,0,46,0,-12,1,1760250249,1760250249,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""count"": 11, ""value"": ""trojan""}, {""count"": 2, ""value"": ""downloader""}]}",trojan.,javascript,invoice-1637482117.pdf (183).js,3025669ca05c98cb958e1bbb452777ddf63b46e982dbe363afe6c19057413960,e6cca3021e18826cff0bbd1ca03ec8c6,success,2025-10-12T10:40:40.571492
e4655655d12588bef8b172d3700b332c66596b402a5efe1bdf05d72f13d11760,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,7,0,43,0,-11,1,1760250304,1760250304,"{""popular_threat_category"": [{""count"": 5, ""value"": ""trojan""}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,invoice-1637482117.pdf (182).js,e4655655d12588bef8b172d3700b332c66596b402a5efe1bdf05d72f13d11760,bf3cb0977887d861f55aa11090d2c125,success,2025-10-12T10:40:49.254707
2ea8971ff8ce0894eb35c874102004be1e3026e06ee94348ff5fe0ac834c8ac4,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-12,1,1760250225,1760250225,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""count"": 11, ""value"": ""trojan""}, {""count"": 2, ""value"": ""downloader""}]}",trojan.,javascript,invoice-1637482117.pdf (181).js,2ea8971ff8ce0894eb35c874102004be1e3026e06ee94348ff5fe0ac834c8ac4,1a54e6e65424f76648c83f61f4c16880,success,2025-10-12T10:40:57.957329
f62b385f608591097d94e6f0ee58e1974b05f09c84f0c1b5908d00b901844b52,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,16,0,46,0,-12,1,1760250129,1760250129,"{""popular_threat_category"": [{""count"": 11, ""value"": ""trojan""}, {""count"": 2, ""value"": ""downloader""}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,invoice-1637482117.pdf (180).js,f62b385f608591097d94e6f0ee58e1974b05f09c84f0c1b5908d00b901844b52,f80b15b1a5d5f07e40e869949ed4c588,success,2025-10-12T10:41:06.683556
89e1f46c61445ca1178800c26002aa7006520b22920f8d7b4649ea2d3e8c3395,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-11,1,1760250105,1760250105,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}]}",trojan.,javascript,invoice-1637482117.pdf (179).js,89e1f46c61445ca1178800c26002aa7006520b22920f8d7b4649ea2d3e8c3395,a814dcd9a1ac67def30cecf35ae57ed4,success,2025-10-12T10:41:15.375812
2bb08f761f5ce1bf155ec099f764c8318fca8fa104c190050bd3670205cd22c3,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-11,1,1760250087,1760250087,"{""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,invoice-1637482117.pdf (178).js,2bb08f761f5ce1bf155ec099f764c8318fca8fa104c190050bd3670205cd22c3,fb75f9322ec04e199c39e81cb270b75f,success,2025-10-12T10:41:24.096299
b7712c7ed23dd8693e0c9011d10e81601a70dd87931bfdc78777bdf268aa4b85,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-12,1,1760250090,1760250090,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""count"": 11, ""value"": ""trojan""}, {""count"": 2, ""value"": ""downloader""}]}",trojan.,javascript,invoice-1637482117.pdf (177).js,b7712c7ed23dd8693e0c9011d10e81601a70dd87931bfdc78777bdf268aa4b85,a0a79d9826a42c257dbc0096f10f3fad,success,2025-10-12T10:41:32.927646
b0c27c9b07fc7afc9e23e68bcac3f57a1dc28446c48f45d49c67f80725367d59,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,15,0,47,0,-12,2,1760250117,1760250822,"{""popular_threat_name"": [{""value"": ""rhadamanthys"", ""count"": 2}], ""popular_threat_category"": [{""value"": ""trojan"", ""count"": 12}, {""value"": ""downloader"", ""count"": 2}], ""suggested_threat_label"": ""trojan.rhadamanthys""}",trojan.rhadamanthys,javascript,_b0c27c9b07fc7afc9e23e68bcac3f57a1dc28446c48f45d49c67f80725367d59.txt;invoice-1637482117.pdf (176).js,b0c27c9b07fc7afc9e23e68bcac3f57a1dc28446c48f45d49c67f80725367d59,e4fec7a80375520ab3f9627ab46b67f7,success,2025-10-12T10:41:41.696083
876d4447575c745f6bcf7cdc04088f6c517bee2197ce245161ed3c81c44fce2a,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,8,0,40,0,-12,1,1760249594,1760249594,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""value"": ""trojan"", ""count"": 5}, {""value"": ""downloader"", ""count"": 2}]}",trojan.,javascript,_876d4447575c745f6bcf7cdc04088f6c517bee2197ce245161ed3c81c44fce2a.txt,876d4447575c745f6bcf7cdc04088f6c517bee2197ce245161ed3c81c44fce2a,956ed847f2dcb114e2e47d09e5b3dca2,success,2025-10-12T10:41:50.438676
5f4accaa3973e4b8d2ba62b896b1590e20f00d51eeb64c5b0451ae4a73610d28,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,16,0,46,0,-12,1,1760249601,1760249601,"{""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,_5f4accaa3973e4b8d2ba62b896b1590e20f00d51eeb64c5b0451ae4a73610d28.txt,5f4accaa3973e4b8d2ba62b896b1590e20f00d51eeb64c5b0451ae4a73610d28,6676b87a3ed0aa33ce45bfdc62f5e716,success,2025-10-12T10:41:59.148026
25e37037743af9503882a5b2b274a7fc7038d8f494c65f8fac30b2aed7cbee95,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,15,0,44,0,-12,2,1760249992,1760251405,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}]}",trojan.,javascript,_25e37037743af9503882a5b2b274a7fc7038d8f494c65f8fac30b2aed7cbee95.txt;invoice-1637482117.pdf (173).js,25e37037743af9503882a5b2b274a7fc7038d8f494c65f8fac30b2aed7cbee95,3e57e32c3a4c1d8ec79473dd5787987d,success,2025-10-12T10:42:08.432217
